feature,importance,Model
Weight,6.4185375209573365,LR
Height,1.8754756406122477,LR
FCVC,0.8103293766725833,LR
Age,0.5309319533297028,LR
NCP,0.5011937713210802,LR
FAF,0.3168223202025234,LR
CH2O,0.20848782930262652,LR
TUE,0.1155371109700408,LR
Weight,1.2801927253120489,SVM-linear
Height,0.38903308897565714,SVM-linear
FCVC,0.21997892692354343,SVM-linear
NCP,0.1995902290973521,SVM-linear
Age,0.17903358043258552,SVM-linear
FAF,0.1648502940726675,SVM-linear
CH2O,0.08583365654529447,SVM-linear
TUE,0.0758321994383571,SVM-linear
Weight,0.3176656151419558,KNN
FCVC,0.1586750788643533,KNN
Height,0.12839116719242902,KNN
NCP,0.12681388012618297,KNN
Age,0.12334384858044165,KNN
TUE,0.07981072555205046,KNN
FAF,0.07791798107255522,KNN
CH2O,0.07728706624605677,KNN
Weight,0.4633097775990653,DT
Height,0.27057905722696945,DT
FCVC,0.15071064585416746,DT
Age,0.05761016675886432,DT
TUE,0.02782173209485475,DT
FAF,0.015654481616127914,DT
NCP,0.007341755080097034,DT
CH2O,0.006972383769853722,DT
Weight,0.3691881557089004,RF
Height,0.13244096814986261,RF
Age,0.1193024179863135,RF
FCVC,0.11395999430014446,RF
FAF,0.067442153525334,RF
TUE,0.06743963905621302,RF
NCP,0.06643042319746785,RF
CH2O,0.06379624807576424,RF
